평균풍속(KT),최대순간풍속(KT),강수량합(mm),1시간최다강수(mm),최심신적설(cm),일시
0.6037037037037037,0.8983050847457626,0.00793201133144476,0.01195219123505976,0.0,2000-09-01
0.18518518518518517,0.08474576271186442,0.0,0.0,0.0,2000-09-02
0.18518518518518517,0.13559322033898302,0.0,0.0,0.0,2000-09-03
0.22962962962962963,0.13559322033898302,0.0,0.0,0.0,2000-09-04
0.2259259259259259,0.13559322033898302,0.0,0.0,0.0,2000-09-05
0.22962962962962963,0.22033898305084743,0.015297450424929181,0.035856573705179286,0.0,2000-09-06
0.26296296296296295,0.13559322033898302,0.0,0.0,0.0,2000-09-07
0.2740740740740741,0.1694915254237288,0.0,0.0,0.0,2000-09-08
0.31481481481481477,0.1864406779661017,0.0,0.0,0.0,2000-09-09
0.27037037037037037,0.22033898305084743,0.0,0.0,0.0,2000-09-10
0.30370370370370364,0.1864406779661017,0.0,0.0,0.0,2000-09-11
0.30370370370370364,0.20338983050847453,0.0,0.0,0.0,2000-09-12
0.3333333333333333,0.2711864406779661,0.0254957507082153,0.014608233731739709,0.0,2000-09-13
0.3185185185185185,0.1694915254237288,0.03512747875354108,0.02390438247011952,0.0,2000-09-14
0.45555555555555555,0.3389830508474576,0.281586402266289,0.09428950863213811,0.0,2000-09-15
0.7370370370370369,0.5084745762711864,0.6277620396600567,0.22045152722443562,0.0,2000-09-16
0.5185185185185185,0.5084745762711864,0.0,0.0,0.0,2000-09-17
0.2740740740740741,0.20338983050847453,0.0,0.0,0.0,2000-09-18
0.13703703703703704,0.050847457627118633,0.0,0.0,0.0,2000-09-19
0.16666666666666666,0.06779661016949153,0.0,0.0,0.0,2000-09-20
0.2148148148148148,0.11864406779661017,0.0,0.0,0.0,2000-09-21
0.2,0.10169491525423728,0.0,0.0,0.0,2000-09-22
0.15925925925925924,0.08474576271186442,0.0,0.0,0.0,2000-09-23
0.16666666666666666,0.11864406779661017,0.0,0.0,0.0,2000-09-24
0.2148148148148148,0.13559322033898302,0.0,0.0,0.0,2000-09-25
0.17777777777777776,0.08474576271186442,0.0,0.0,0.0,2000-09-26
0.17777777777777776,0.050847457627118633,0.0,0.0,0.0,2000-09-27
0.19629629629629627,0.11864406779661017,0.0056657223796034,0.009296148738379814,0.0,2000-09-28
0.1814814814814815,0.06779661016949153,0.0,0.0,0.0,2000-09-29
0.16666666666666666,0.06779661016949153,0.0,0.0,0.0,2000-09-30
0.14074074074074072,0.050847457627118633,0.0,0.0,0.0,2000-10-01
0.24074074074074073,0.1864406779661017,0.00226628895184136,0.005312084993359894,0.0,2000-10-02
0.34444444444444444,0.20338983050847453,0.0,0.0,0.0,2000-10-03
0.1259259259259259,0.03389830508474577,0.0,0.0,0.0,2000-10-04
0.2037037037037037,0.11864406779661017,0.0,0.0,0.0,2000-10-05
0.14074074074074072,0.06779661016949153,0.0,0.0,0.0,2000-10-06
0.16296296296296298,0.06779661016949153,0.0,0.0,0.0,2000-10-07
0.17407407407407408,0.06779661016949153,0.0,0.0,0.0,2000-10-08
0.14074074074074072,0.10169491525423728,0.0,0.0,0.0,2000-10-09
0.2,0.10169491525423728,0.0,0.0,0.0,2000-10-10
0.362962962962963,0.22033898305084743,0.00396600566572238,0.00796812749003984,0.0,2000-10-11
0.5222222222222221,0.3220338983050847,0.0,0.0,0.0,2000-10-12
0.3222222222222222,0.2542372881355932,0.0,0.0,0.0,2000-10-13
0.17037037037037034,0.08474576271186442,0.0,0.0,0.0,2000-10-14
0.25925925925925924,0.23728813559322032,0.0,0.0,0.0,2000-10-15
0.15185185185185182,0.08474576271186442,0.0,0.0,0.0,2000-10-16
0.31481481481481477,0.2711864406779661,0.059490084985835696,0.12749003984063745,0.0,2000-10-17
0.2333333333333333,0.20338983050847453,0.0,0.0,0.0,2000-10-18
0.2518518518518518,0.1864406779661017,0.0,0.0,0.0,2000-10-19
0.2037037037037037,0.15254237288135591,0.0,0.0,0.0,2000-10-20
0.14444444444444443,0.06779661016949153,0.0,0.0,0.0,2000-10-21
0.27037037037037037,0.20338983050847453,0.0,0.0,0.0,2000-10-22
0.2148148148148148,0.13559322033898302,0.0056657223796034,0.01195219123505976,0.0,2000-10-23
0.18888888888888886,0.11864406779661017,0.07932011331444759,0.07171314741035857,0.0,2000-10-24
0.4703703703703703,0.2711864406779661,0.0033994334277620396,0.006640106241699867,0.0,2000-10-25
0.39259259259259255,0.30508474576271183,0.0,0.0,0.0,2000-10-26
0.2259259259259259,0.15254237288135591,0.0,0.0,0.0,2000-10-27
0.2111111111111111,0.13559322033898302,0.0,0.0,0.0,2000-10-28
0.3074074074074074,0.1694915254237288,0.0,0.0,0.0,2000-10-29
0.17407407407407408,0.08474576271186442,0.0,0.0,0.0,2000-10-30
0.15185185185185182,0.06779661016949153,0.0,0.0,0.0,2000-10-31
0.19629629629629627,0.06779661016949153,0.0,0.0,0.0,2000-11-01
0.26666666666666666,0.15254237288135591,0.0,0.0,0.0,2000-11-02
0.11851851851851852,0.050847457627118633,0.0,0.0,0.0,2000-11-03
0.3,0.22033898305084743,0.0,0.0,0.0,2000-11-04
0.16666666666666666,0.1694915254237288,0.0,0.0,0.0,2000-11-05
0.16296296296296298,0.10169491525423728,0.0,0.0,0.0,2000-11-06
0.4185185185185185,0.3220338983050847,0.0,0.0,0.0,2000-11-07
0.3185185185185185,0.3559322033898305,0.0,0.0,0.0,2000-11-08
0.2148148148148148,0.08474576271186442,0.0,0.0,0.0,2000-11-09
0.31481481481481477,0.22033898305084743,0.014730878186968839,0.017264276228419657,0.0,2000-11-10
0.2518518518518518,0.1694915254237288,0.0,0.0,0.0,2000-11-11
0.21851851851851853,0.11864406779661017,0.00226628895184136,0.005312084993359894,0.0,2000-11-12
0.19629629629629627,0.13559322033898302,0.0,0.0,0.0,2000-11-13
0.16666666666666666,0.10169491525423728,0.0,0.0,0.0,2000-11-14
0.25555555555555554,0.1864406779661017,0.0,0.0,0.0,2000-11-15
0.362962962962963,0.1694915254237288,0.04645892351274787,0.02656042496679947,0.0,2000-11-16
0.4518518518518518,0.30508474576271183,0.0,0.0,0.0,2000-11-17
0.27037037037037037,0.1864406779661017,0.0,0.0,0.0,2000-11-18
0.26666666666666666,0.13559322033898302,0.03229461756373938,0.033200531208499334,0.0,2000-11-19
0.5074074074074073,0.3389830508474576,0.04419263456090652,0.02257636122177955,0.0,2000-11-20
0.45925925925925926,0.3559322033898305,0.0,0.0,0.0,2000-11-21
0.15925925925925924,0.06779661016949153,0.0,0.0,0.0,2000-11-22
0.1814814814814815,0.06779661016949153,0.0,0.0,0.0,2000-11-23
0.18518518518518517,0.06779661016949153,0.0,0.0,0.0,2000-11-24
0.17407407407407408,0.08474576271186442,0.0,0.0,0.0,2000-11-25
0.37037037037037035,0.23728813559322032,0.01189801699716714,0.013280212483399735,0.0,2000-11-26
0.3333333333333333,0.2542372881355932,0.0,0.0,0.0,2000-11-27
0.17777777777777776,0.15254237288135591,0.0,0.0,0.0,2000-11-28
0.15925925925925924,0.10169491525423728,0.0,0.0,0.0,2000-11-29
0.19629629629629627,0.13559322033898302,0.0,0.0,0.0,2000-11-30
0.2333333333333333,0.13559322033898302,0.0,0.0,0.0,2000-12-01
0.16666666666666666,0.1694915254237288,0.0,0.0,0.0,2000-12-02
0.4333333333333333,0.23728813559322032,0.0,0.0,0.0,2000-12-03
0.2518518518518518,0.30508474576271183,0.0,0.0,0.0,2000-12-04
0.537037037037037,0.3559322033898305,0.0,0.0,0.0,2000-12-05
0.15555555555555556,0.06779661016949153,0.0,0.0,0.0,2000-12-06
0.14444444444444443,0.10169491525423728,0.0,0.0,0.0,2000-12-07
0.2037037037037037,0.11864406779661017,0.0,0.0,0.0,2000-12-08
0.18518518518518517,0.15254237288135591,0.0,0.0,0.0,2000-12-09
0.537037037037037,0.3728813559322034,0.010198300283286119,0.010624169986719788,0.0,2000-12-10
0.6222222222222222,0.4576271186440678,0.0,0.0,0.0,2000-12-11
0.2444444444444444,0.1864406779661017,0.00113314447592068,0.0,0.043478260869565216,2000-12-12
0.2148148148148148,0.13559322033898302,0.00113314447592068,0.0,0.0,2000-12-13
0.24814814814814815,0.23728813559322032,0.00056657223796034,0.0013280212483399736,0.0,2000-12-14
0.4629629629629629,0.3728813559322034,0.0254957507082153,0.05976095617529881,0.0,2000-12-15
0.3407407407407407,0.3728813559322034,0.0,0.0,0.0,2000-12-16
0.2,0.11864406779661017,0.0,0.0,0.0,2000-12-17
0.25925925925925924,0.22033898305084743,0.018696883852691217,0.0398406374501992,0.0,2000-12-18
0.3592592592592592,0.3389830508474576,0.0,0.0,0.0,2000-12-19
0.17407407407407408,0.15254237288135591,0.00056657223796034,0.0,0.0,2000-12-20
0.21851851851851853,0.15254237288135591,0.0,0.0,0.0,2000-12-21
0.5296296296296297,0.3728813559322034,0.0073654390934844195,0.013280212483399735,0.0,2000-12-22
0.47777777777777775,0.3559322033898305,0.03796033994334278,0.06374501992031872,0.0,2000-12-23
0.28518518518518515,0.22033898305084743,0.00226628895184136,0.0,0.043478260869565216,2000-12-24
