평균풍속(KT),최대순간풍속(KT),강수량합(mm),1시간최다강수(mm),최심신적설(cm),일시
0.16666666666666666,0.1607142857142857,0.0,0.0,0.0,1970-01-01
0.21904761904761902,0.17857142857142855,0.0,0.0,0.0,1970-01-02
0.36190476190476184,0.30357142857142855,0.0,0.0,0.0,1970-01-03
0.4714285714285714,0.46428571428571425,0.0,0.0,0.0,1970-01-04
0.32857142857142857,0.21428571428571427,0.0010604453870625664,0.0,0.0,1970-01-05
0.3476190476190476,0.30357142857142855,0.0,0.0,0.0,1970-01-06
0.17142857142857143,0.14285714285714285,0.0042417815482502655,0.0,0.0,1970-01-07
0.38095238095238093,0.4107142857142857,0.0,0.0,0.0,1970-01-08
0.17142857142857143,0.23214285714285712,0.0,0.0,0.0,1970-01-09
0.27619047619047615,0.30357142857142855,0.0,0.0,0.0,1970-01-10
0.3047619047619048,0.30357142857142855,0.016967126193001062,0.0,0.0,1970-01-11
0.5666666666666667,0.46428571428571425,0.0007069635913750443,0.0,0.0,1970-01-12
0.5380952380952381,0.39285714285714285,0.0,0.0,0.0,1970-01-13
0.2523809523809524,0.26785714285714285,0.0,0.0,0.0,1970-01-14
0.36190476190476184,0.26785714285714285,0.0,0.0,0.0,1970-01-15
0.3333333333333333,0.39285714285714285,0.0,0.0,0.0,1970-01-16
0.24285714285714283,0.17857142857142855,0.0,0.0,0.0,1970-01-17
0.14285714285714285,0.125,0.0,0.0,0.0,1970-01-18
0.16190476190476188,0.1607142857142857,0.0,0.0,0.0,1970-01-19
0.13809523809523808,0.19642857142857142,0.0,0.0,0.0,1970-01-20
0.21428571428571427,0.21428571428571427,0.0,0.0,0.0,1970-01-21
0.3142857142857142,0.30357142857142855,0.0,0.0,0.0,1970-01-22
0.44761904761904764,0.33928571428571425,0.0,0.0,0.0,1970-01-23
0.19047619047619047,0.23214285714285712,0.0,0.0,0.0,1970-01-24
0.1857142857142857,0.17857142857142855,0.0,0.0,0.0,1970-01-25
0.21904761904761902,0.23214285714285712,0.0,0.0,0.0,1970-01-26
0.17142857142857143,0.17857142857142855,0.0,0.0,0.0,1970-01-27
0.1571428571428571,0.19642857142857142,0.0,0.0,0.0,1970-01-28
0.20952380952380953,0.17857142857142855,0.0,0.0,0.0,1970-01-29
0.40952380952380946,0.3214285714285714,0.0,0.0,0.0,1970-01-30
0.3,0.30357142857142855,0.0,0.0,0.0,1970-01-31
0.2857142857142857,0.25,0.0,0.0,0.0,1970-02-01
0.21428571428571427,0.25,0.0,0.0,0.0,1970-02-02
0.29047619047619044,0.30357142857142855,0.0,0.0,0.0,1970-02-03
0.4809523809523809,0.42857142857142855,0.0,0.0,0.0,1970-02-04
0.1857142857142857,0.21428571428571427,0.0,0.0,0.0,1970-02-05
0.14285714285714285,0.19642857142857142,0.0,0.0,0.0,1970-02-06
0.1333333333333333,0.1607142857142857,0.0,0.0,0.0,1970-02-07
0.5142857142857143,0.5357142857142857,0.0,0.0,0.0,1970-02-08
0.5952380952380952,0.46428571428571425,0.0017674089784376107,0.0,0.0,1970-02-09
0.17142857142857143,0.17857142857142855,0.0,0.0,0.0,1970-02-10
0.3333333333333333,0.39285714285714285,0.0,0.0,0.0,1970-02-11
0.2666666666666666,0.4464285714285714,0.006362672322375399,0.0,0.0,1970-02-12
0.3857142857142857,0.3571428571428571,0.0,0.0,0.0,1970-02-13
0.18095238095238092,0.19642857142857142,0.016967126193001062,0.0,0.0,1970-02-14
0.3047619047619048,0.23214285714285712,0.0,0.0,0.0,1970-02-15
0.3142857142857142,0.3571428571428571,0.0,0.0,0.0,1970-02-16
0.3952380952380953,0.39285714285714285,0.0,0.0,0.0,1970-02-17
0.33809523809523806,0.2857142857142857,0.0,0.0,0.0,1970-02-18
0.1857142857142857,0.30357142857142855,0.06185931424531638,0.0,0.0,1970-02-19
0.4238095238095238,0.3214285714285714,0.0,0.0,0.0,1970-02-20
0.20476190476190473,0.2857142857142857,0.007423117709437965,0.0,0.0,1970-02-21
0.3523809523809524,0.21428571428571427,0.0,0.0,0.0,1970-02-22
0.20476190476190473,0.1607142857142857,0.0028278543655001773,0.0,0.0,1970-02-23
0.3142857142857142,0.26785714285714285,0.06504065040650407,0.0,0.0,1970-02-24
0.30952380952380953,0.2857142857142857,0.014139271827500886,0.0,0.0,1970-02-25
0.3571428571428571,0.3214285714285714,0.0014139271827500887,0.0,0.0,1970-02-26
0.3047619047619048,0.2857142857142857,0.0,0.0,0.0,1970-02-27
0.49523809523809526,0.4107142857142857,0.0,0.0,0.0,1970-02-28
0.27619047619047615,0.26785714285714285,0.003888299752562744,0.0,0.0,1970-03-01
0.17142857142857143,0.14285714285714285,0.0,0.0,0.0,1970-03-02
0.2571428571428572,0.33928571428571425,0.0,0.0,0.0,1970-03-03
0.5380952380952381,0.4107142857142857,0.0,0.0,0.0,1970-03-04
0.5380952380952381,0.5357142857142857,0.0,0.0,0.0,1970-03-05
0.5238095238095237,0.4107142857142857,0.0,0.0,0.0,1970-03-06
0.28095238095238095,0.26785714285714285,0.0,0.0,0.0,1970-03-07
0.16190476190476188,0.30357142857142855,0.0017674089784376107,0.0,0.0,1970-03-08
0.3952380952380953,0.2857142857142857,0.0,0.0,0.0,1970-03-09
0.4714285714285714,0.3571428571428571,0.0,0.0,0.0,1970-03-10
0.4714285714285714,0.33928571428571425,0.0,0.0,0.0,1970-03-11
0.5,0.4464285714285714,0.0,0.0,0.0,1970-03-12
0.4,0.3214285714285714,0.0,0.0,0.0,1970-03-13
